github_url,file_path,signature,static_match
github.com/WGS-note/finetune_stable_diffusion,diffusers/tests/pipelines/dance_diffusion/test_dance_diffusion.py,diffusers.DanceDiffusionPipeline.from_pretrained;diffusers.DanceDiffusionPipeline.from_pretrained,harmonai/maestro-150k;harmonai/maestro-150k
github.com/AssemblyAI-Examples/flask-gpu-app,main.py,diffusers.StableDiffusionPipeline.from_pretrained,runwayml/stable-diffusion-v1-5
github.com/yeungchenwa/OCR-SAM,mmocr_sam_inpainting.py,diffusers.StableDiffusionInpaintPipeline.from_pretrained,stabilityai/stable-diffusion-2-inpainting
github.com/neuroidss/EEG-GAN-audio-video,neurofeedback_inverse.py,diffusers.StableDiffusionPipeline.from_pretrained;diffusers.AutoencoderKL.from_pretrained;diffusers.UNet2DConditionModel.from_pretrained,CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4
github.com/declare-lab/tango,diffusers/tests/pipelines/stable_diffusion_2/test_stable_diffusion_v_pred.py,diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.EulerDiscreteScheduler.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.DPMSolverMultistepScheduler.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained,stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2-1;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2
github.com/jinxixiang/color_controlnet,diffusers/pipelines/stable_diffusion/convert_from_ckpt.py,diffusers.PriorTransformer.from_pretrained;diffusers.UnCLIPScheduler.from_pretrained;diffusers.pipelines.stable_diffusion.StableDiffusionSafetyChecker.from_pretrained,CompVis/stable-diffusion-safety-checker
github.com/microsoft/LMOps,promptist/diffusers/tests/models/test_models_vq.py,diffusers.VQModel.from_pretrained;diffusers.VQModel.from_pretrained,fusing/vqgan-dummy;fusing/vqgan-dummy
github.com/drboog/Shifted_Diffusion,diffusers/tests/pipelines/versatile_diffusion/test_versatile_diffusion_text_to_image.py,diffusers.VersatileDiffusionTextToImagePipeline.from_pretrained;diffusers.VersatileDiffusionTextToImagePipeline.from_pretrained;diffusers.VersatileDiffusionTextToImagePipeline.from_pretrained,shi-labs/versatile-diffusion;shi-labs/versatile-diffusion
github.com/MichWozPol/LEGO_StableDiffusion,diffusers/tests/pipelines/stable_diffusion/test_onnx_stable_diffusion_inpaint_legacy.py,diffusers.OnnxStableDiffusionInpaintPipelineLegacy.from_pretrained,CompVis/stable-diffusion-v1-4
github.com/THUDM/FastLDM,examples/transform_diffusers_unet.py,diffusers.UNet2DConditionModel.from_pretrained,CompVis/stable-diffusion-v1-4
